label,lat,lon,precision,place
Scottish_Argyll_and_Bute,56.20,-5.40,district,"Argyll and Bute, Scotland, UK"
Selkup_Taz,67.00,82.00,district,"Taz River basin, Yamalo-Nenets, Russia"
Sena,-17.50,35.00,ethnic,"Lower Zambezi valley, Mozambique"
Sengwer,1.05,35.45,ethnic,"Cherangany Hills, Kenya"
Sephardic_Jew_Bulgaria,42.70,23.32,country,"Sofia, Bulgaria"
Sephardic_Jew_Portugal_(Belmonte_Crypto-Jew),40.36,-7.35,site,"Belmonte, Castelo Branco, Portugal"
Sephardic_Jew_Turkey,41.01,28.98,site,"Istanbul, Turkey"
Serb,44.02,20.92,country,"Serbia"
Serb_Bosnia,44.77,17.19,region,"Banja Luka, Republika Srpska, Bosnia"
Serb_Croatia,45.30,16.20,region,"Krajina/Slavonia, Croatia"
Serb_Herzegovina,42.71,18.34,region,"Trebinje, Herzegovina, Bosnia"
Serb_Montenegro,42.71,19.37,country,"Montenegro"
Serb_North_Macedonia,42.13,21.71,region,"Kumanovo, North Macedonia"
Serb_Serbia_Backa,45.65,19.60,district,"Backa, Vojvodina, Serbia"
Serb_Serbia_Belgrade,44.79,20.45,site,"Belgrade, Serbia"
Serb_Serbia_Branicevo,44.62,21.19,district,"Branicevo (Pozarevac), Serbia"
Serb_Serbia_Central_Banat,45.38,20.39,district,"Central Banat (Zrenjanin), Serbia"
Serb_Serbia_Jablanica,42.99,21.95,district,"Jablanica (Leskovac), Serbia"
Serb_Serbia_Kolubara,44.27,19.89,district,"Kolubara (Valjevo), Serbia"
Serb_Serbia_Macva,44.75,19.69,district,"Macva (Sabac), Serbia"
Serb_Serbia_Moravica,43.89,20.35,district,"Moravica (Cacak), Serbia"
Serb_Serbia_Nisava,43.32,21.90,district,"Nisava (Nis), Serbia"
Serb_Serbia_Pcinja,42.55,21.90,district,"Pcinja (Vranje), Serbia"
Serb_Serbia_Pomoravlje,43.98,21.26,district,"Pomoravlje (Jagodina), Serbia"
Serb_Serbia_Rasina,43.58,21.33,district,"Rasina (Krusevac), Serbia"
Serb_Serbia_Sumadija,44.01,20.91,district,"Sumadija (Kragujevac), Serbia"
Serb_Serbia_Toplica,43.23,21.59,district,"Toplica (Prokuplje), Serbia"
Serer_Gambia,13.45,-16.00,ethnic,"Serer areas, western Gambia"
She,27.00,119.50,ethnic,"She homeland, Fujian/Zhejiang, China"
Sherpa_Khumbu,27.80,86.72,district,"Khumbu, Solukhumbu, Nepal"
Sherpa_Rolwaling_Himal,27.87,86.35,district,"Rolwaling Himal, Dolakha, Nepal"
Sherpa_West_Bengal,27.04,88.26,district,"Darjeeling, West Bengal, India"
Shetlandic,60.30,-1.30,region,"Shetland, Scotland, UK"
