label,lat,lon,precision,place
French_Oil_Centre-Val_de_Loire_Indre,46.81,1.69,district,"Chateauroux, Indre, Centre-Val de Loire, France"
French_Oil_Grand_Est_Ardennes,49.77,4.72,district,"Charleville-Mezieres, Ardennes, France"
French_Oil_Grand_Est_Marne,48.96,4.36,district,"Chalons-en-Champagne, Marne, France"
French_Oil_Grand_Est_Moselle,49.12,6.18,district,"Metz, Moselle, France"
French_Oil_Grand_Est_Vosges,48.17,6.45,district,"Epinal, Vosges, France"
French_Oil_Hauts-de-France_Nord,50.63,3.06,district,"Lille, Nord, France"
French_Oil_Hauts-de-France_Pas-de-Calais,50.29,2.78,district,"Arras, Pas-de-Calais, France"
French_Oil_Hauts-de-France_Somme,49.89,2.30,district,"Amiens, Somme, France"
French_Oil_Ile-de-France_Paris,48.86,2.35,site,"Paris, France"
French_Oil_Normandy_Calvados,49.18,-0.37,district,"Caen, Calvados, Normandy, France"
French_Oil_Normandy_Eure,49.02,1.15,district,"Evreux, Eure, Normandy, France"
French_Oil_Normandy_Manche,49.11,-1.09,district,"Saint-Lo, Manche, Normandy, France"
French_Oil_Normandy_Orne,48.43,0.09,district,"Alencon, Orne, Normandy, France"
French_Oil_Normandy_Seine-Maritime,49.44,1.10,district,"Rouen, Seine-Maritime, Normandy, France"
French_Oil_Nouvelle-Aquitaine_Charente-Maritime,46.16,-1.15,district,"La Rochelle, Charente-Maritime, France"
French_Oil_Nouvelle-Aquitaine_Deux-Sevres,46.32,-0.46,district,"Niort, Deux-Sevres, France"
French_Oil_Pays_de_la_Loire_Maine-et-Loire,47.47,-0.55,district,"Angers, Maine-et-Loire, France"
French_Oil_Pays_de_la_Loire_Sarthe,48.00,0.20,district,"Le Mans, Sarthe, France"
French_Oil_Pays_de_la_Loire_Vendee,46.67,-1.43,district,"La Roche-sur-Yon, Vendee, France"
Frisian_Netherlands,53.20,5.79,region,"Leeuwarden, Friesland, Netherlands"
Fulani_Burkina_Faso_A,14.03,-0.03,ethnic,"Dori, Sahel Region, Burkina Faso"
Fulani_Burkina_Faso_B,14.03,-0.03,ethnic,"Dori, Sahel Region, Burkina Faso"
Fulani_Cameroon,9.30,13.40,ethnic,"Garoua, North Region, Cameroon"
Fulani_Gambia_A,13.45,-15.30,ethnic,"central Gambia (Fulbe areas)"
Fulani_Gambia_B,13.45,-15.30,ethnic,"central Gambia (Fulbe areas)"
Fulani_Guinea_A,11.32,-12.28,ethnic,"Labe, Fouta Djallon, Guinea"
Fulani_Guinea_B,11.32,-12.28,ethnic,"Labe, Fouta Djallon, Guinea"
Fulani_Senegal,15.66,-13.25,ethnic,"Matam, Fouta Toro, Senegal"
Gagauz,46.30,28.66,district,"Comrat, Gagauzia, Moldova"
Ganguela,-13.50,19.00,ethnic,"Nganguela lands, Moxico/Cuando Cubango, Angola"
Garhwali_Rajput,30.20,78.80,region,"Garhwal, Uttarakhand, India"
Garo,25.51,90.22,ethnic,"Tura, Garo Hills, Meghalaya, India"
Gaud_Saraswat_Brahmin,15.30,74.00,ethnic,"Goa / Konkan coast, India"
Gelao_Guangxi_Longlin,24.77,105.34,site,"Longlin County, Guangxi, China"
Gelao_Guizhou_Wuchuan,28.53,107.89,site,"Wuchuan County, Guizhou, China"
Georgian_Adjarian,41.64,41.64,district,"Batumi, Adjara, Georgia"
Georgian_Gurian,41.93,42.00,district,"Ozurgeti, Guria, Georgia"
Georgian_Imeretian,42.27,42.70,district,"Kutaisi, Imereti, Georgia"
Georgian_Javakhian,41.41,43.48,district,"Akhalkalaki, Javakheti, Georgia"
Georgian_Jew,41.72,44.78,ethnic,"Tbilisi, Georgia"
Georgian_Kakhetian,41.92,45.47,district,"Telavi, Kakheti, Georgia"
