label,lat,lon,precision,place
Greece_EBA_Thessaly_Theopetra,39.68,21.68,site,"Theopetra Cave, Thessaly, Greece"
Greece_EIA_Argolid,37.63,22.72,region,"Argolid, Peloponnese, Greece"
Greece_EIA_Messenia,37.05,21.95,region,"Messenia, Peloponnese, Greece"
Greece_EMBA_Minoan_Hagios_Charalambos,35.19,25.45,site,"Hagios Charalambos Cave, Lasithi, Crete, Greece"
Greece_LBA_Achaea_Mygdalia,38.20,21.77,site,"Mygdalia, Patras, Achaea, Greece"
Greece_LBA_Crete_Chania,35.51,24.02,site,"Chania, Crete, Greece"
Greece_LBA_Crete_Krousonas,35.23,24.97,site,"Krousonas, Heraklion, Crete, Greece"
Greece_LBA_Minoan_Aposelemis,35.29,25.35,site,"Aposelemis, Hersonissos, Crete, Greece"
Greece_LBA_Mycenaean/Minoan_LBA_Chania,35.51,24.02,site,"Chania, Crete, Greece"
Greece_LBA_Mycenaean_Aegina,37.75,23.43,site,"Aegina, Greece"
Greece_LBA_Mycenaean_Argolid,37.73,22.76,region,"Mycenae, Argolid, Greece"
Greece_LBA_Mycenaean_Attica,38.00,23.75,region,"Attica, Greece"
Greece_LBA_Mycenaean_Corinthia,37.91,22.88,region,"Corinthia, Greece"
Greece_LBA_Mycenaean_Corinthia_o_(noisy),37.91,22.88,region,"Corinthia, Greece"
Greece_LBA_Mycenaean_Cyclades,37.10,25.45,region,"Naxos, Cyclades, Greece"
Greece_LBA_Mycenaean_Messenia,37.03,21.70,region,"Pylos, Messenia, Greece"
Greece_LBA_Mycenaean_Phocis,38.50,22.50,region,"Phocis, Central Greece"
Greece_LBA_Mycenaean_Salamis,37.93,23.50,site,"Salamis, Greece"
Greece_Late_Antiquity_Vranas_Marathon,38.13,23.95,site,"Vranas, Marathon, Attica, Greece"
Greece_Late_Modern_Crete_Adele,35.35,24.57,site,"Adele, Rethymno, Crete, Greece"
Greece_MBA_Macedonia_Logkas,40.15,21.80,guess,"Logkas, Elati, Kozani, Macedonia, Greece"
Greece_MBA_Minoan_Odigitria,34.97,24.85,site,"Moni Odigitria, Asterousia, Crete, Greece"
Greece_MBA_Minoan_Zakros,35.10,26.26,site,"Kato Zakros, Crete, Greece"
Greece_MLBA_Minoan_Chania,35.51,24.02,site,"Chania, Crete, Greece"
Greece_N_Crete_Aposelemis,35.29,25.35,site,"Aposelemis, Hersonissos, Crete, Greece"
Greece_N_Macedonia,40.60,22.60,region,"Central Macedonia, Greece"
Greece_N_Peloponnese_Diros,36.64,22.38,site,"Alepotrypa Cave, Diros, Laconia, Greece"
Greece_N_Peloponnese_Franchthi,37.42,23.13,site,"Franchthi Cave, Argolid, Greece"
Greenland_Early-High_Medieval_Viking_Age_Eastern_Settlement_(Early_Norse),61.15,-45.52,district,"Eastern Settlement (Brattahlid), Greenland"
Greenland_Early-High_Medieval_Viking_Age_Eastern_Settlement_(Late_Norse),61.15,-45.52,district,"Eastern Settlement (Brattahlid), Greenland"
Greenland_Early-High_Medieval_Viking_Age_Western_Settlement_(Late_Norse),64.30,-50.50,district,"Western Settlement (Sandnes), Greenland"
Greenland_Early_Medieval_Viking_Age_Western_Settlement_(Early_Norse),64.30,-50.50,district,"Western Settlement (Sandnes), Greenland"
Greenland_High_Medieval_Viking_Age_Western_Settlement_(Late_Norse),64.30,-50.50,district,"Western Settlement (Sandnes), Greenland"
Greenland_Paleo-Eskimo_Saqqaq,70.01,-51.95,site,"Saqqaq, Disko Bay, Greenland"
Guadeloupe_Ceramic,16.25,-61.58,country,"Guadeloupe"
Guam_Latte_Haputo,13.57,144.83,site,"Haputo, Guam"
Guam_Latte_Naton,13.51,144.80,site,"Naton Beach, Tumon, Guam"
Guam_Unai_Late_Naton,13.51,144.80,site,"Naton Beach, Tumon, Guam"
Guam_Unai_Late_Ritidian,13.65,144.86,site,"Ritidian Point, Guam"
Guam_Unai_Naton,13.51,144.80,site,"Naton Beach, Tumon, Guam"
Haiti_Ceramic,18.97,-72.29,country,"Haiti"
Hatay_ECA_Tell_Kurdu,36.33,36.40,site,"Tell Kurdu, Amuq Plain, Hatay, Turkey"
Hatay_LBA_Alalakh,36.24,36.38,site,"Alalakh (Tell Atchana), Hatay, Turkey"
Hatay_MBA_Alalakh,36.24,36.38,site,"Alalakh (Tell Atchana), Hatay, Turkey"
Hatay_MCA_Tell_Kurdu,36.33,36.40,site,"Tell Kurdu, Amuq Plain, Hatay, Turkey"
Hatay_MLBA_Alalakh,36.24,36.38,site,"Alalakh (Tell Atchana), Hatay, Turkey"
Hungary_BA_Szolad,46.78,17.83,site,"Szolad, Somogy, Hungary"
Hungary_Bell_Beaker,47.43,19.07,region,"Csepel Island, Budapest, Hungary"
Hungary_CA_Balaton_Lasinja,46.83,17.73,region,"Lake Balaton, Hungary"
Hungary_CA_Csongrad,46.71,20.14,site,"Csongrad, Hungary"
Hungary_EBA_Mako,46.22,20.48,site,"Mako, Csongrad, Hungary"
Hungary_EBA_Maros,46.20,20.20,region,"Maros region near Szeged, Hungary"
Hungary_EBA_Protonagyrev,46.95,20.15,region,"Nagyrev, Tisza valley, Hungary"
Hungary_EBA_Yamnaya,47.30,21.20,region,"Hajdu-Bihar, Great Hungarian Plain, Hungary"
Hungary_ECA_Tiszapolgar,47.87,21.12,site,"Tiszapolgar, Hungary"
Hungary_EIA_Hallstatt_C2-D1,47.50,17.30,region,"Western Transdanubia, Hungary"
Hungary_EIA_Hallstatt_D1,47.50,17.30,region,"Western Transdanubia, Hungary"
Hungary_EIA_Mezocsat,47.81,20.91,site,"Mezocsat, Hungary"
Hungary_EMBA_Hatvan/Otomani-Fuzesabony,47.75,20.41,region,"Fuzesabony, NE Hungary"
Hungary_EN_Koros,46.85,20.80,region,"Koros region, SE Hungary"
Hungary_EN_Starcevo,46.20,18.72,region,"Southern Transdanubia (Alsonyek), Hungary"
Hungary_Early-High_Medieval_Conqueror-Early_Arpadian_Period,47.20,19.80,country,"Hungary"
Hungary_Early_Medieval_Avar_Period,46.90,19.70,country,"Danube-Tisza interfluve, Hungary"
Hungary_Early_Medieval_Avar_Period_Early,46.90,19.70,country,"Danube-Tisza interfluve, Hungary"
Hungary_Early_Medieval_Avar_Period_Early/Middle,46.90,19.70,country,"Danube-Tisza interfluve, Hungary"
Hungary_Early_Medieval_Avar_Period_Late,46.90,19.70,country,"Danube-Tisza interfluve, Hungary"
Hungary_Early_Medieval_Avar_Period_Middle,46.90,19.70,country,"Danube-Tisza interfluve, Hungary"
Hungary_Early_Medieval_Avar_Period_Middle/Late,46.90,19.70,country,"Danube-Tisza interfluve, Hungary"
Hungary_Early_Medieval_Carolingian_Period,46.67,17.15,region,"Zalavar (Mosaburg), Western Hungary"
Hungary_Early_Medieval_Conqueror_Period,47.20,19.80,country,"Hungary"
Hungary_Early_Medieval_Lombard_Period,46.78,17.83,region,"Szolad, Transdanubia, Hungary"
