label,lat,lon,precision,place
China_Shandong_N_Houli_Xiaogao,36.68,117.53,site,"Xiaogao, Zhangqiu, Jinan, Shandong, China"
China_Shandong_N_Houli_Xiaojingshan,36.72,117.52,site,"Xiaojingshan, Zhangqiu, Jinan, Shandong, China"
China_Shandong_N_Late_Dawenkou_Dawenkou,35.96,117.03,site,"Dawenkou, Tai'an, Shandong, China"
China_Shandong_N_Late_Dawenkou_Fujia,37.05,118.41,site,"Fujia, Guangrao County, Dongying, Shandong, China"
China_Shandong_N_Late_Dawenkou_Gangshang,35.08,117.15,site,"Gangshang, Tengzhou, Shandong, China"
China_Shandong_N_Late_Dawenkou_Jiaojia,36.72,117.42,site,"Jiaojia, Zhangqiu, Jinan, Shandong, China"
China_Shandong_N_Late_Dawenkou_Sanlihe,36.28,120.03,site,"Sanlihe, Jiaozhou, Qingdao, Shandong, China"
China_Shandong_N_Late_Dawenkou_Wucun,36.80,118.05,guess,"Wucun, central Shandong (Zibo area), China"
China_Shandong_N_Late_Dawenkou_Wutai,36.70,119.10,guess,"Wutai, Weifang area, Shandong, China"
China_Shandong_N_Late_Dawenkou_Xixiahou,35.60,117.05,site,"Xixiahou, Qufu, Shandong, China"
China_Shandong_N_Longshan_Chengziya,36.72,117.38,site,"Chengziya, Longshan, Zhangqiu, Shandong, China"
China_Shandong_N_Longshan_Dinggong,36.90,117.75,site,"Dinggong, Zouping, Shandong, China"
China_Shandong_N_Longshan_Sanlihe,36.28,120.03,site,"Sanlihe, Jiaozhou, Qingdao, Shandong, China"
China_Shandong_N_Longshan_Tonglin,36.60,119.00,guess,"Tonglin, Weifang area, Shandong, China"
China_Shandong_N_Longshan_Wutai,36.70,119.10,guess,"Wutai, Weifang area, Shandong, China"
China_Shandong_N_Longshan_Yinjiacheng,35.65,117.28,site,"Yinjiacheng, Sishui County, Shandong, China"
China_Shandong_N_Middle_Dawenkou_Liulin,35.00,117.50,guess,"Liulin, southern Shandong, China"
China_Sichuan_LN_Baodun_Gaoshan,30.60,103.53,site,"Gaoshan ancient city, Dayi County, Chengdu, Sichuan, China"
China_Yunnan_EBA_Haimenkou,26.53,99.90,site,"Haimenkou, Jianchuan County, Dali, Yunnan, China"
